S.No.,State Code,State Name (In English),District Code,District Version,District Name (In English),District Name(In Local),Census 2001 Code,Census 2011 Code
1,27,MAHARASHTRA,466,1,AHMEDNAGAR,अहमदनगर,26,522
2,27,MAHARASHTRA,467,1,AKOLA,अकोला,05,501
3,27,MAHARASHTRA,468,1,AMRAVATI,अमरावती,07,503
4,27,MAHARASHTRA,469,1,AURANGABAD,औरंगाबाद,19,515
5,27,MAHARASHTRA,470,1,BEED,बीड,27,523
6,27,MAHARASHTRA,471,1,BHANDARA,भंडारा,10,506
7,27,MAHARASHTRA,472,1,BULDHANA,बुलढाणा,04,500
8,27,MAHARASHTRA,473,1,CHANDRAPUR,चंद्रपूर,13,509
9,27,MAHARASHTRA,474,1,DHULE,धुळे,02,498
10,27,MAHARASHTRA,475,1,GADCHIROLI,गडचिरोली,12,508
11,27,MAHARASHTRA,476,1,GONDIA,गोंदीया,11,507
12,27,MAHARASHTRA,477,1,HINGOLI,हिंगोली,16,512
13,27,MAHARASHTRA,478,2,JALGAON,जळगाव,03,499
14,27,MAHARASHTRA,479,1,JALNA,जालना,18,514
15,27,MAHARASHTRA,480,1,KOLHAPUR,कोल्हापूर,34,530
16,27,MAHARASHTRA,481,1,LATUR,लातूर,28,524
17,27,MAHARASHTRA,482,1,MUMBAI,मुंबई,23,519
18,27,MAHARASHTRA,483,1,MUMBAI SUBURBAN,मुंबई उपनगर,22,518
19,27,MAHARASHTRA,484,1,NAGPUR,नागपूर,09,505
20,27,MAHARASHTRA,485,1,NANDED,नांदेड,15,511
21,27,MAHARASHTRA,486,1,NANDURBAR,नंदूरबार,01,497
22,27,MAHARASHTRA,487,1,NASHIK,नाशिक,20,516
23,27,MAHARASHTRA,488,1,OSMANABAD,उस्मानाबाद,29,525
24,27,MAHARASHTRA,665,1,PALGHAR,पालघर,,000
25,27,MAHARASHTRA,489,1,PARBHANI,परभणी,17,513
26,27,MAHARASHTRA,490,1,PUNE,पुणे,25,521
27,27,MAHARASHTRA,491,1,RAIGAD,रायगड,24,520
28,27,MAHARASHTRA,492,1,RATNAGIRI,रत्नागिरी,32,528
29,27,MAHARASHTRA,493,1,SANGLI,सांगली,35,531
30,27,MAHARASHTRA,494,1,SATARA,सातारा,31,527
31,27,MAHARASHTRA,495,1,SINDHUDURG,सिंधुदुर्ग,33,529
32,27,MAHARASHTRA,496,1,SOLAPUR,सोलापूर,30,526
33,27,MAHARASHTRA,497,2,THANE,ठाणे,21,517
34,27,MAHARASHTRA,498,1,WARDHA,वर्धा,08,504
35,27,MAHARASHTRA,499,1,WASHIM,वाशिम,06,502
36,27,MAHARASHTRA,500,1,YAVATMAL,यवतमाळ,14,510
